id;classroom;time window;is_lab;lab_type;weekday
438;B007;N5;1;8;3
439;B007;M1;1;8;4
440;B007;M2;1;8;4
441;B007;M3;1;8;4
442;B007;M4;1;8;4
443;B007;M5;1;8;4
444;B007;T1;1;8;4
445;B007;T2;1;8;4
446;B007;T3;1;8;4
447;B007;T4;1;8;4
448;B007;T5;1;8;4
449;B007;N1;1;8;4
450;B007;N2;1;8;4
451;B007;N3;1;8;4
452;B007;N4;1;8;4
453;B007;N5;1;8;4
454;B007;M1;1;8;5
455;B007;M2;1;8;5
456;B007;M3;1;8;5
457;B007;M4;1;8;5
458;B007;M5;1;8;5
459;B007;T1;1;8;5
460;B007;T2;1;8;5
461;B007;T3;1;8;5
462;B007;T4;1;8;5
463;B007;T5;1;8;5
464;B007;N1;1;8;5
465;B007;N2;1;8;5
466;B007;N3;1;8;5
467;B007;N4;1;8;5
468;B007;N5;1;8;5
469;B007;M1;1;8;6
470;B007;M2;1;8;6
471;B007;M3;1;8;6
472;B007;M4;1;8;6
473;B007;M5;1;8;6
474;B007;T1;1;8;6
475;B007;T2;1;8;6
476;B007;T3;1;8;6
477;B007;T4;1;8;6
478;B007;T5;1;8;6
479;B007;N1;1;8;6
480;B007;N2;1;8;6
481;B007;N3;1;8;6
482;B007;N4;1;8;6
483;B007;N5;1;8;6
484;B009;M1;1;3;2
485;B009;M2;1;3;2
486;B009;M3;1;3;2
487;B009;M4;1;3;2
488;B009;M5;1;3;2
489;B009;T1;1;3;2
490;B009;T2;1;3;2
491;B009;T3;1;3;2
492;B009;T4;1;3;2
493;B009;T5;1;3;2
494;B009;N1;1;3;2
495;B009;N2;1;3;2
496;B009;N3;1;3;2
497;B009;N4;1;3;2
498;B009;N5;1;3;2
499;B009;M1;1;3;3
500;B009;M2;1;3;3
501;B009;M3;1;3;3
502;B009;M4;1;3;3
503;B009;M5;1;3;3
504;B009;T1;1;3;3
505;B009;T2;1;3;3
506;B009;T3;1;3;3
507;B009;T4;1;3;3
508;B009;T5;1;3;3
509;B009;N1;1;3;3
510;B009;N2;1;3;3
511;B009;N3;1;3;3
512;B009;N4;1;3;3
513;B009;N5;1;3;3
514;B009;M1;1;3;4
515;B009;M2;1;3;4
516;B009;M3;1;3;4
517;B009;M4;1;3;4
518;B009;M5;1;3;4
519;B009;T1;1;3;4
520;B009;T2;1;3;4
521;B009;T3;1;3;4
522;B009;T4;1;3;4
523;B009;T5;1;3;4
524;B009;N1;1;3;4
525;B009;N2;1;3;4
526;B009;N3;1;3;4
527;B009;N4;1;3;4
528;B009;N5;1;3;4
529;B009;M1;1;3;5
530;B009;M2;1;3;5
531;B009;M3;1;3;5
532;B009;M4;1;3;5
533;B009;M5;1;3;5
534;B009;T1;1;3;5
535;B009;T2;1;3;5
536;B009;T3;1;3;5
537;B009;T4;1;3;5
538;B009;T5;1;3;5
539;B009;N1;1;3;5
540;B009;N2;1;3;5
541;B009;N3;1;3;5
542;B009;N4;1;3;5
543;B009;N5;1;3;5
544;B009;M1;1;3;6
545;B009;M2;1;3;6
546;B009;M3;1;3;6
547;B009;M4;1;3;6
548;B009;M5;1;3;6
549;B009;T1;1;3;6
550;B009;T2;1;3;6
551;B009;T3;1;3;6
552;B009;T4;1;3;6
553;B009;T5;1;3;6
554;B009;N1;1;3;6
555;B009;N2;1;3;6
556;B009;N3;1;3;6
557;B009;N4;1;3;6
558;B009;N5;1;3;6
559;B011;M1;1;4;2
560;B011;M2;1;4;2
561;B011;M3;1;4;2
562;B011;M4;1;4;2
563;B011;M5;1;4;2
564;B011;T1;1;4;2
565;B011;T2;1;4;2
566;B011;T3;1;4;2
567;B011;T4;1;4;2
568;B011;T5;1;4;2
569;B011;N1;1;4;2
570;B011;N2;1;4;2
571;B011;N3;1;4;2
572;B011;N4;1;4;2
573;B011;N5;1;4;2
574;B011;M1;1;4;3
575;B011;M2;1;4;3
576;B011;M3;1;4;3
577;B011;M4;1;4;3
578;B011;M5;1;4;3
579;B011;T1;1;4;3
580;B011;T2;1;4;3
581;B011;T3;1;4;3
582;B011;T4;1;4;3
583;B011;T5;1;4;3
584;B011;N1;1;4;3
585;B011;N2;1;4;3
586;B011;N3;1;4;3
587;B011;N4;1;4;3
588;B011;N5;1;4;3
589;B011;M1;1;4;4
590;B011;M2;1;4;4
591;B011;M3;1;4;4
592;B011;M4;1;4;4
593;B011;M5;1;4;4
594;B011;T1;1;4;4
595;B011;T2;1;4;4
596;B011;T3;1;4;4
597;B011;T4;1;4;4
598;B011;T5;1;4;4
599;B011;N1;1;4;4
600;B011;N2;1;4;4
601;B011;N3;1;4;4
602;B011;N4;1;4;4
603;B011;N5;1;4;4
604;B011;M1;1;4;5
605;B011;M2;1;4;5
606;B011;M3;1;4;5
607;B011;M4;1;4;5
608;B011;M5;1;4;5
609;B011;T1;1;4;5
610;B011;T2;1;4;5
611;B011;T3;1;4;5
612;B011;T4;1;4;5
613;B011;T5;1;4;5
614;B011;N1;1;4;5
615;B011;N2;1;4;5
616;B011;N3;1;4;5
617;B011;N4;1;4;5
618;B011;N5;1;4;5
619;B011;M1;1;4;6
620;B011;M2;1;4;6
621;B011;M3;1;4;6
622;B011;M4;1;4;6
623;B011;M5;1;4;6
624;B011;T1;1;4;6
625;B011;T2;1;4;6
626;B011;T3;1;4;6
627;B011;T4;1;4;6
628;B011;T5;1;4;6
629;B011;N1;1;4;6
630;B011;N2;1;4;6
631;B011;N3;1;4;6
632;B011;N4;1;4;6
633;B011;N5;1;4;6
634;B013;M1;1;5;2
635;B013;M2;1;5;2
636;B013;M3;1;5;2
637;B013;M4;1;5;2
638;B013;M5;1;5;2
639;B013;T1;1;5;2
640;B013;T2;1;5;2
641;B013;T3;1;5;2
642;B013;T4;1;5;2
643;B013;T5;1;5;2
644;B013;N1;1;5;2
645;B013;N2;1;5;2
646;B013;N3;1;5;2
647;B013;N4;1;5;2
648;B013;N5;1;5;2
649;B013;M1;1;5;3
650;B013;M2;1;5;3
651;B013;M3;1;5;3
652;B013;M4;1;5;3
653;B013;M5;1;5;3
654;B013;T1;1;5;3
655;B013;T2;1;5;3
656;B013;T3;1;5;3
657;B013;T4;1;5;3
658;B013;T5;1;5;3
659;B013;N1;1;5;3
660;B013;N2;1;5;3
661;B013;N3;1;5;3
662;B013;N4;1;5;3
663;B013;N5;1;5;3
664;B013;M1;1;5;4
665;B013;M2;1;5;4
666;B013;M3;1;5;4
667;B013;M4;1;5;4
668;B013;M5;1;5;4
669;B013;T1;1;5;4
670;B013;T2;1;5;4
671;B013;T3;1;5;4
672;B013;T4;1;5;4
673;B013;T5;1;5;4
674;B013;N1;1;5;4
675;B013;N2;1;5;4
676;B013;N3;1;5;4
677;B013;N4;1;5;4
678;B013;N5;1;5;4
679;B013;M1;1;5;5
680;B013;M2;1;5;5
681;B013;M3;1;5;5
682;B013;M4;1;5;5
683;B013;M5;1;5;5
